Point No.,Angular Frequency,Complex Viscosity,Storage Modulus,Loss Modulus,Loss Factor,Shear Strain,Shear Stress,Torque
,,,,,,,,
,[rad/s],[Pa·s],[Pa],[Pa],[1],[%],[Pa],[mN·m]
1,628,156.08,72938,65483,0.898,1,980.6,4.5127
2,496,167.9,63535,53790,0.847,0.994,827.15,3.8065
3,391,184.83,55575,46325,0.834,1,723.81,3.3309
4,309,206.85,48841,41242,0.844,1.01,643.63,2.9619
5,244,232.08,42609,37296,0.875,1.01,569.8,2.6222
6,193,260.55,36913,34006,0.921,1,503.08,2.3151
7,152,292.58,31974,30944,0.968,0.997,443.8,2.0423
8,120,326.88,27402,28099,1.025,0.997,391.5,1.8016
9,94.8,364.12,23354,25416,1.088,0.998,344.3,1.5844
10,74.8,404.53,19802,22901,1.157,1,302.99,1.3943
11,59.1,447.79,16693,20528,1.23,1,264.83,1.2187
12,46.6,493.67,13980,18300,1.309,1,230.48,1.0607
13,36.8,541.57,11622,16210,1.395,1,199.48,0.91797
14,29.1,591.34,9588.5,14272,1.488,1,171.9,0.79108
15,23,642.48,7849.1,12487,1.591,1,147.42,0.67842
16,18.1,694.34,6371.2,10852,1.703,1,125.78,0.57883
17,14.3,746.69,5130.9,9371.4,1.826,1,106.81,0.49152
18,11.3,798.98,4097.7,8042.1,1.963,1,90.251,0.41533
19,8.92,850.73,3246.6,6857.8,2.112,1,75.881,0.3492
20,7.04,901.23,2548.9,5811.5,2.28,1,63.471,0.29209
21,5.56,950.39,1986.3,4895.8,2.465,1,52.842,0.24318
22,4.39,997.39,1534.8,4099.6,2.671,1,43.777,0.20146
23,3.47,1042,1175.9,3413.6,2.903,1,36.1,0.16613
24,2.74,1082.6,893.15,2823.9,3.162,1,29.614,0.13628
25,2.16,1119.7,672.62,2322.8,3.453,1,24.181,0.11128
26,1.71,1152.6,501.66,1900.3,3.788,1,19.653,0.090441
27,1.35,1181,370.91,1546,4.168,1,15.898,0.073162
28,1.06,1204.4,272.42,1250.8,4.592,1,12.801,0.05891
29,0.839,1222.4,197.21,1006.6,5.104,1,10.257,0.047202
30,0.662,1237.4,143.27,807.13,5.634,1,8.1975,0.037725
31,0.523,1245,102.3,643.09,6.286,1,6.5118,0.029967
32,0.413,1250.4,72.905,511.16,7.011,1,5.1632,0.023761
33,0.326,1253,51.496,405.24,7.869,1,4.0849,0.018799
34,0.257,1250.5,36.116,319.82,8.855,1,3.2185,0.014811
35,0.203,1243.2,25.308,251.36,9.932,1,2.5264,0.011626
36,0.16,1235.9,17.177,197.53,11.5,1,1.9827,0.0091244
37,0.127,1221.2,11.373,154.26,13.564,1,1.5468,0.0071182
38,0.1,1205.5,8.12,120.28,14.813,1,1.2055,0.0055478
