Point No.,Angular Frequency,Complex Viscosity,Storage Modulus,Loss Modulus,Loss Factor,Shear Strain,Shear Stress,Torque
,,,,,,,,
,[rad/s],[Pa·s],[Pa],[Pa],[1],[%],[Pa],[mN·m]
1,628,132.5,57470,60176,1.047,1,832.33,3.8303
2,496,140.06,49258,48951,0.994,0.994,690.23,3.1764
3,391,151.67,42411,41544,0.98,1,593.89,2.7331
4,309,166.99,36622,36362,0.993,1.01,519.63,2.3913
5,244,184.54,31302,32366,1.034,1.01,453.72,2.088
6,193,203.93,26537,28964,1.091,1,393.75,1.812
7,152,225.07,22358,25917,1.159,0.997,341.43,1.5712
8,120,247.31,18650,23106,1.239,0.998,296.23,1.3632
9,94.8,270.82,15446,20505,1.328,0.998,256.08,1.1785
10,74.8,295.57,12705,18108,1.425,0.998,220.7,1.0156
11,59.1,321.52,10379,15911,1.533,1,190.07,0.87471
12,46.6,348.05,8410.3,13888,1.651,1,162.41,0.74741
13,36.8,374.91,6754.8,12042,1.783,1,138.13,0.63566
14,29.1,401.7,5375.6,10369,1.929,1,116.78,0.53743
15,23,427.98,4234.3,8865.4,2.094,1,98.21,0.45196
16,18.1,453.55,3301.2,7528,2.28,1,82.164,0.37812
17,14.3,477.91,2548,6345.8,2.491,1,68.361,0.31459
18,11.3,500.69,1945.3,5311.1,2.73,1,56.557,0.26027
19,8.92,521.91,1468.7,4417,3.007,1,46.55,0.21422
20,7.04,541.15,1097.7,3648.9,3.324,1,38.11,0.17538
21,5.56,558.22,811.31,2995.3,3.692,1,31.036,0.14283
22,4.39,572.91,593.23,2443.5,4.119,1,25.146,0.11572
23,3.47,585.59,429.44,1983.1,4.618,1,20.289,0.093371
24,2.74,595.75,306.86,1600.6,5.216,1,16.296,0.074994
25,2.16,603.05,216.54,1284.4,5.931,1,13.023,0.059933
26,1.71,608.6,150.62,1026.8,6.817,1,10.376,0.047752
27,1.35,609.94,104.06,814.51,7.827,1,8.2104,0.037784
28,1.06,609.77,71.317,644.16,9.032,1,6.4804,0.029823
29,0.839,606.65,47.792,506.81,10.604,1,5.0904,0.023426
30,0.662,601.29,31.342,397.12,12.67,1,3.9852,0.01834
31,0.523,593.13,20.443,309.55,15.142,1,3.1023,0.014277
32,0.413,587.45,13.439,242.21,18.022,1,2.4258,0.011163
33,0.326,581.51,9.2498,189.36,20.471,1,1.8958,0.0087245
34,0.257,573.76,5.9263,147.56,24.899,1,1.4768,0.0067962
35,0.203,563.16,3.1345,114.4,36.496,1,1.1444,0.0052664
36,0.16,555.06,2.6764,89.01,33.257,1,0.8905,0.004098
37,0.127,542.14,1.3574,68.655,50.579,1,0.68669,0.0031601
38,0.1,534.9,1.6344,53.465,32.713,1,0.5349,0.0024616
