Point No.,Angular Frequency,Complex Viscosity,Storage Modulus,Loss Modulus,Loss Factor,Shear Strain,Shear Stress,Torque
,,,,,,,,
,[rad/s],[Pa·s],[Pa],[Pa],[1],[%],[Pa],[mN·m]
1,628,120.74,57784,49097,0.85,1,758.43,3.4903
2,496,135.27,50603,44013,0.87,0.994,666.38,3.0666
3,391,151.66,44081,39761,0.902,1,593.73,2.7323
4,309,170.75,38451,36139,0.94,1.01,531.3,2.445
5,244,191.39,33163,32876,0.991,1.01,470.48,2.1651
6,193,213.68,28359,29832,1.052,1,412.6,1.8988
7,152,238.51,24168,27048,1.119,0.997,361.8,1.665
8,120,263.4,20313,24241,1.193,0.998,315.51,1.452
9,94.8,289.81,16948,21621,1.276,0.997,274.01,1.261
10,74.8,317.65,14041,19183,1.366,0.998,237.23,1.0917
11,59.1,346.84,11551,16927,1.465,1,205.06,0.94369
12,46.6,376.79,9426.8,14835,1.574,1,175.84,0.8092
13,36.8,407.32,7627.6,12917,1.694,1,150.06,0.69059
14,29.1,437.8,6114.6,11165,1.826,1,127.27,0.58571
15,23,468.05,4855.6,9584.7,1.974,1,107.4,0.49424
16,18.1,497.77,3819.9,8172.8,2.14,1,90.174,0.41498
17,14.3,526.27,2974.3,6918,2.326,1,75.281,0.34644
18,11.3,553.78,2294.2,5820,2.537,1,62.554,0.28787
19,8.92,579.5,1752.1,4862.4,2.775,1,51.688,0.23787
20,7.04,602.88,1324,4033.4,3.046,1,42.458,0.19539
21,5.56,624.47,991.55,3326.9,3.355,1,34.719,0.15978
22,4.39,643.53,735.21,2727.1,3.709,1,28.245,0.12998
23,3.47,660.87,539.97,2225.4,4.121,1,22.898,0.10537
24,2.74,675.92,390.79,1807.3,4.625,1,18.489,0.085087
25,2.16,687.53,282.37,1457.8,5.163,1,14.848,0.06833
26,1.71,696.09,200.3,1169.9,5.841,1,11.869,0.054618
27,1.35,702.03,141.36,934.46,6.611,1,9.4501,0.043489
28,1.06,705.45,97.903,743.37,7.593,1,7.4974,0.034503
29,0.839,706,68.31,588.47,8.615,1,5.924,0.027262
30,0.662,704.79,45.222,464.72,10.277,1,4.6691,0.021487
31,0.523,701.16,31.905,365.35,11.451,1,3.6673,0.016877
32,0.413,693.53,20.374,285.66,14.021,1,2.8639,0.013179
33,0.326,689.57,14.664,224.33,15.299,1,2.2481,0.010346
34,0.257,687.37,9.8602,176.65,17.915,1,1.7692,0.0081419
35,0.203,675.07,5.7323,137.06,23.91,1,1.3718,0.006313
36,0.16,668.92,4.4559,107.22,24.063,1,1.0732,0.0049387
37,0.127,660.9,2.5451,83.673,32.877,1,0.83712,0.0038524
38,0.1,650.39,1.9714,65.009,32.976,1,0.65039,0.0029931
